spp,sv,masa,log.sv,log.masa,l_papus,area_p,pl_m,tipo_papus,Latitud,Longitud,altitud,Ecoregion,habito,muestreo,Tribu,cod_gps,bio1,bio4,bio12,bio15,cover,wind.speed,air.density
Acanthospermum_hispidum,3.54751680074786,9.69,1.26571273671345,2.26825236075942,3.81177777777778,45.9578094997166,0.216895541360451,aristate,-25.124293,-65.041981,748,Dry_Chaco,hierba,norte_2022,Millerieae,Juramento,19.3833332061768,432.121246337891,606,99.5400695800781,16,2.6230640411377,1.09672605991364
Angelphytum,2.42344094482758,1.55888888888889,0.882653683851218,0.408088609232021,2.76344444444444,24.8432172857513,0.0694245132595506,aristate,-22.25,-65.125,4271,Central_Andean_puna,arbusto,norte_2020,Heliantheae,Camino a Santa Victoria,7.72499990463257,284.696807861328,334,106.997894287109,2,4.9610595703125,0.773733973503113
Aphyllocladus_spartioides,0.758468127381442,1.47777777777778,-0.281532012557239,0.364162720291281,7.27111111111111,167.232701630531,0.00899463376480239,setose,-24.915399,-66.14204,2606.965,Monte,arbusto,norte_2022,Onoserideae,Camino a poma,13.3416662216187,362.603179931641,172,121.034805297852,0,3.00605511665344,0.901800036430359
Austrobrickellia_patens,0.624390519652602,0.711111111111111,-0.490669038239494,-0.367214628885861,6.61177777777778,137.725104834262,0.00524327776942474,setose,-24.915399,-66.14204,2606.965,Monte,arbusto,norte_2022,Eupatorieae,Camino a poma,13.3416662216187,362.603179931641,172,121.034805297852,0,3.00605511665344,0.901800036430359
Austroeupatorium_inulifolium,0.435706408246093,0.197777777777778,-0.853819199547734,-1.64687195966806,3.60611111111111,41.1839084842404,0.00486194867086033,setose,-31.1517,-64.2836,730,Dry_Chaco,hierba,Cordoba_2022,Eupatorieae,salsipuedes,14.9166669845581,440.590148925781,747,67.8691940307617,76,2.94605708122253,1.10960817337036
Baccharis_effusa,0.161847165946942,0.0526666666666667,-1.83459963872406,-2.95191586474726,8.66666666666667,238.420918191381,0.000227615021219413,setose,-24.888016,-65.701031,1633.446,Southern_Andean_Yungas,arbusto,norte_2022,Astereae,Campo Quijano,15.3541669845581,356.845123291016,435,109.33625793457,22,0.931084096431732,0.999824166297913
Baccharis_juncea,0.143968999597088,0.0833333333333333,-1.95109558102497,-2.49769631830773,10.0967777777778,321.584399000854,0.000261408516936252,setose,-24.365466,-66.091174,3722.081,Central_Andean_puna,hierba,norte_2022,Astereae,Las Cuevas,8.73333358764648,335.852600097656,149,117.696983337402,0,5.30171489715576,0.80963259935379
Baccharis_magellanica,0.229913224786207,0.273333333333333,-1.48384533324157,-1.30312300082358,9.67033333333333,295.331808447363,0.000957877341405827,setose,-50.487677,-72.929317,214,Patagonian_forests,cojin,Sur_2021,Astereae,Baccharis _placa,6.69999980926514,365.786834716797,678,12.9403038024902,0,4.99010562896729,1.22343897819519
Baccharis_patagonica,0.173581104857556,0.175714285714286,-1.76381882057802,-1.79401596857552,7.51328571428571,179.365544775733,0.000967523015189731,setose,-40.616062,-71.670945,792,Patagonian_forests,arbusto,Sur_2021,Astereae,Baccharis_2,8.32499980926514,419.011291503906,1492,57.7936553955078,35,2.71159958839417,1.13715672492981
Baccharis_salicifolia,0.18698134866758,0.0525,-1.6967799345973,-2.9654601323006,3.341875,35.3284836981373,0.00151774675626137,setose,-30.319529,-63.925994,464.821,Dry_Chaco,arbusto,norte_2022,Astereae,Pisco Huasi,17.4249992370605,461.748168945312,737,69.0372085571289,3,3.29363632202148,1.14077949523926
