sv,Velocidad_viento,Temperatura_media,Precipitacion_media,Latitud,Longitud,Ecoregion,Tribu,habito,tipo_papus,masa,area_p,pl_m
3.54751680074786,2.6230640411377,19.3833332061768,606,-25.124293,-65.041981,Dry_Chaco,Millerieae,hierba,aristate,9.69,45.9578094997166,0.216895541866415
2.42344094482758,4.9610595703125,7.72499990463257,334,-22.25,-65.125,Central_Andean_puna,Heliantheae,arbusto,aristate,1.55888888888889,24.8432172857513,0.0694245136171953
0.758468127381442,3.00605511665344,13.3416662216187,172,-24.915399,-66.14204,Monte,Onoserideae,arbusto,setose,1.47777777777778,167.232701630531,0.00899463377043189
0.624390519652602,3.00605511665344,13.3416662216187,172,-24.915399,-66.14204,Monte,Eupatorieae,arbusto,setose,0.711111111111111,137.725104834262,0.00524327777332152
0.435706408246093,2.94605708122253,14.9166669845581,747,-31.1517,-64.2836,Dry_Chaco,Eupatorieae,hierba,setose,0.197777777777778,41.1839084842404,0.00486194868324543
0.161847165946942,0.931084096431732,15.3541669845581,435,-24.888016,-65.701031,Southern_Andean_Yungas,Astereae,arbusto,setose,0.0526666666666667,238.420918191381,0.00022761502132195
0.143968999597088,5.30171489715576,8.73333358764648,149,-24.365466,-66.091174,Central_Andean_puna,Astereae,hierba,setose,0.0833333333333333,321.584399000854,0.000261408517019537
0.229913224786207,4.99010562896729,6.69999980926514,678,-50.487677,-72.929317,Patagonian_forests,Astereae,cojin,setose,0.273333333333333,295.331808447363,0.000957877341749792
0.173581104857556,2.71159958839417,8.32499980926514,1492,-40.616062,-71.670945,Patagonian_forests,Astereae,arbusto,setose,0.175714285714286,179.365544775733,0.000967523015745084
0.18698134866758,3.29363632202148,17.4249992370605,737,-30.319529,-63.925994,Dry_Chaco,Astereae,arbusto,setose,0.0525,35.3284836981373,0.00151774676076436
0.439975526295116,4.9610595703125,7.72499990463257,334,-22.25,-65.125,Central_Andean_puna,Astereae,arbusto,setose,0.385,194.0615413036,0.00200912598750257
0.209360976389083,2.04431009292603,13.2041664123535,415,-22.246,-65.05,Central_Andean_puna,Astereae,arbusto,setose,0.0666666666666667,50.5415998282875,0.00131674041476721
0.783102343125113,5.57340621948242,7.375,150,-50.306795,-70.238514,Patagonian_steppe,Mutisieae,cojin,setose,1.29,298.167865638328,0.00440696801260695
0.660366140437894,6.34846210479736,7.11666679382324,173,-50.286573,-69.29533,Patagonian_steppe,Nassauvieae,cojin,setose,0.56875,82.3430716030796,0.00672676766103887
0.298680443051056,2.08322334289551,12.4499998092651,224,-25.178178,-65.816128,Central_Andean_puna,Eupatorieae,hierba,setose,0.0555555555555556,35.1947912592684,0.00158276867863643
0.440650494748767,1.52029085159302,16.595832824707,483,-25.116442,-65.602071,Southern_Andean_Yungas,Mutisieae,hierba,setose,0.495555555555556,276.531197143104,0.00198531626656931
0.459075643465988,4.45384025573731,10.7416667938232,195,-25.174863,-65.854139,Central_Andean_puna,Mutisieae,hierba,setose,1.43222222222222,274.725970285577,0.00525251324684329
0.549817235342542,2.24771595001221,11.3583335876465,201,-25.166542,-65.849998,Central_Andean_puna,Mutisieae,hierba,setose,1.56333333333333,209.503210219161,0.00749774797066426
0.377764881560049,0.931084096431732,15.3541669845581,435,-24.888016,-65.701031,Southern_Andean_Yungas,Eupatorieae,hierba,setose,0.278888888888889,69.2605175062486,0.00403960591506613
0.288116744702918,1.52029085159302,16.595832824707,483,-25.116442,-65.602071,Southern_Andean_Yungas,Eupatorieae,arbusto,setose,0.11,43.5842259451207,0.00251014824443914
0.308009273800627,1.6751743555069,16.341667175293,456,-25.126074,-65.586443,Southern_Andean_Yungas,Eupatorieae,arbusto,setose,0.166666666666667,36.045400508574,0.00465802633738555
2.08878931550176,5.30171489715576,8.73333358764648,149,-24.365466,-66.091174,Central_Andean_puna,Barnadesieae,arbusto,setose,2.36666666666667,63.6171541948869,0.0370812818260286
1.5758431086613,6.4248194694519,10.1041669845581,229,-48.956429,-67.647875,Patagonian_steppe,Barnadesieae,cojin,setose,4.49555555555556,227.361086465812,0.0994965523829391
2.02662301202929,3.57135391235352,11.4708337783813,159,-24.70857,-66.188002,Monte,Barnadesieae,arbusto,setose,3.49555555555556,147.544240637651,0.0243562470644879
1.0218205729369,2.08322334289551,12.4499998092651,224,-25.178178,-65.816128,Central_Andean_puna,Barnadesieae,arbusto,setose,3.91,326.811947566304,0.0124833810347355
1.11365834477739,1.52029085159302,16.595832824707,483,-25.116442,-65.602071,Southern_Andean_Yungas,Gochnatieae,arbusto,setose,7.02333333333333,1367.22475295259,0.00514326255644427
0.592068420263657,4.49835681915283,15.3000001907349,332,-38.140013,-66.197174,Monte,Gochnatieae,arbusto,setose,1.20777777777778,272.189456056517,0.00446371413748715
2.20466504506337,2.33670210838318,18.0208339691162,528,-25.275374,-65.333683,Dry_Chaco,Heliantheae,hierba,aristate,2.51,3.81588420400283,0.746733434071618
0.432696045076132,2.94605708122253,14.9166669845581,747,-31.1517,-64.2836,Dry_Chaco,Eupatorieae,Subarbusto,setose,0.08,26.6671217842692,0.00298510357251195
0.411678159447775,1.52029085159302,16.595832824707,483,-25.116442,-65.602071,Southern_Andean_Yungas,Eupatorieae,hierba,setose,0.328888888888889,72.966184167988,0.00459538667549562
2.38784013158891,2.33670210838318,18.0208339691162,528,-25.275374,-65.333683,Dry_Chaco,Heliantheae,arbusto,aristate,5.18888888888889,38.4804674748615,0.145959860468828
